interaction_id,user_id,timestamp,device_type,command_category,command_text,ai_response,response_time_ms,ai_confidence_score,user_satisfaction,status,error_code
1,447,2024-03-12 17:56:48,Smart Speaker,Information,Apa rekomendasi restoran di sekitar sini?,Akses ditolak,310,67.97,4,Error,ERR403
2,469,2024-12-01 06:40:13,Smartphone,Productivity,Bagikan agenda meeting dengan anggota tim,Tugas telah disimpan,315,70.04,5,Success,
3,113,2024-09-08 02:02:41,Smart TV,Home Automation,Atur suhu AC ke 24°C,Atur suhu AC ke 24°C berhasil dilakukan,602,87.21,3,Success,
4,238,2024-10-26 06:44:04,Smartphone,Entertainment,Cari podcast tentang teknologi AI,Media sedang diputar,294,90.5,5,Success,
5,484,2024-08-16 23:26:00,Smart Speaker,Productivity,Tampilkan laporan produktivitas minggu ini,Tugas telah disimpan,203,83.39,4,Success,
6,440,2024-11-19 17:03:13,Laptop,Home Automation,Matikan televisi di kamar,Perangkat tidak tersedia,645,75.04,5,Success,
7,438,2024-09-19 03:31:27,Smart TV,Home Automation,Atur suhu AC ke 24°C,Atur suhu AC ke 24°C berhasil dilakukan,542,78.71,4,Success,
8,155,2024-06-09 09:41:45,Smart Speaker,Home Automation,Nyalakan kipas angin,Nyalakan kipas angin berhasil dilakukan,780,80.17,5,Success,
9,405,2024-05-07 15:41:34,Smart TV,Security,Verifikasi akses ke pintu utama dengan sidik jari,Keamanan telah diperbarui,319,74.76,4,Success,
10,443,2024-05-15 00:00:27,Smart TV,Entertainment,Baca sinopsis film yang sedang trending,Media sedang diputar,996,97.78,5,Success,
11,483,2024-04-12 12:42:31,Smart TV,Productivity,Bagikan agenda meeting dengan anggota tim,Tugas telah disimpan,646,76.85,2,Success,
12,280,2024-06-27 05:04:34,Smart Hub,Information,Apa rekomendasi restoran di sekitar sini?,Berikut adalah informasi yang saya temukan,255,65.07,2,Success,
13,340,2024-12-21 14:21:52,Smart TV,Entertainment,Aktifkan mode gaming,Media sedang diputar,266,88.02,4,Success,
14,434,2024-09-17 06:15:43,Smart Hub,Information,Cek nilai tukar USD ke IDR,Berikut adalah informasi yang saya temukan,226,85.02,5,Success,
15,242,2024-09-04 16:08:39,Smartphone,Entertainment,Cari podcast tentang teknologi AI,Media sedang diputar,710,88.02,5,Success,
